sample_id,Yp,D_H,He3oH,Li7oH,Neff,YPCMB,He3oHe4,n,p,H2,H3,He3,He4,Li7,Be7,He6,Li8,Li6,B8
29,0.24702329056925004,2.4352679658761752e-05,1.0355880703927848e-05,5.20134304281292e-10,3.0439772985579183,0.24569689436846348,0.0001262571627169148,3.992895102336742e-16,0.752916644270539,1.833553784767031e-05,5.874492322764541e-08,7.738370024839736e-06,0.06175582264231251,2.1689224386379783e-11,3.6992855056308204e-10,0.0,0.0,0.0,0.0
30,0.2472297931637245,2.436543910400442e-05,1.0284538890200272e-05,5.300154878704381e-10,3.0439772985579183,0.24590265025506639,0.00012524830853268234,4.0251249734225666e-16,0.7527102999762787,1.8340116977028918e-05,5.908166542869809e-08,7.682196687731654e-06,0.06180744829093113,2.1538411662656115e-11,3.7740970520437505e-10,0.0,0.0,0.0,0.0
31,0.24720184128631564,2.4450986182566563e-05,1.0540806309127026e-05,5.787393802197295e-10,3.0439772985579183,0.24587479941543916,0.00012838837429110395,4.009894094810563e-16,0.7527375419334986,1.8405175236915095e-05,5.875476211589528e-08,7.875705869013496e-06,0.06180046032157891,2.2923748424681262e-11,4.127151100620344e-10,0.0,0.0,0.0,0.0
32,0.24694494848684206,2.4584919546241984e-05,1.0283672575446418e-05,5.749682518392623e-10,3.0439772985579183,0.24561883572749138,0.00012542960609947492,4.0440641758280215e-16,0.7529947931956382,1.8512316409453886e-05,5.86845490684385e-08,7.684867355171494e-06,0.061736237121710516,2.30773731377678e-11,4.0987072674999517e-10,0.0,0.0,0.0,0.0
33,0.24706616657262528,2.4371242776698692e-05,1.0442470962040187e-05,5.438816165722141e-10,3.0439772985579183,0.2457396152835064,0.00012728347669300005,4.000358190115577e-16,0.7528735480541764,1.834846401978286e-05,5.916884476557616e-08,7.802691318878329e-06,0.06176654164315632,2.3175076804147683e-11,3.8629900558601627e-10,0.0,0.0,0.0,0.0
34,0.24717774733624348,2.4555637388804085e-05,1.0155326572124796e-05,5.313713984539719e-10,3.0439772985579183,0.24585079256679074,0.00012370931523454393,4.0718016899076736e-16,0.7527623471045581,1.8484559235444606e-05,5.939990633856579e-08,7.5851475597073825e-06,0.06179443683406087,2.1926341483724217e-11,3.78070039600719e-10,0.0,0.0,0.0,0.0
35,0.24716503304873602,2.452272441424062e-05,1.0484859603256179e-05,5.589194796853732e-10,3.0439772985579183,0.24583812424570456,0.0001277322028835584,4.0440620272752493e-16,0.7527743656504922,1.846007831495182e-05,5.846127355826227e-08,7.83427226321738e-06,0.061791258262184005,2.268550434960196e-11,3.9805475242025794e-10,0.0,0.0,0.0,0.0
36,0.24715497525201896,2.42738059427377e-05,1.040144497938626e-05,5.77052995993764e-10,3.0439772985579183,0.24582810281292944,0.00012672294541456514,4.025722480190591e-16,0.7527849856407127,1.8272956658049247e-05,5.8457501397695074e-08,7.771594108052253e-06,0.06178874381300474,2.2581036542362742e-11,4.118157947607332e-10,0.0,0.0,0.0,0.0
37,0.24688146401227554,2.4254605549913478e-05,1.033496181242638e-05,5.83977615320019e-10,3.0439772985579183,0.24555558100355115,0.00012609828711303067,3.983218733454126e-16,0.7530586541324734,1.8265140611931863e-05,5.9245707716088724e-08,7.723586725260228e-06,0.061720366003068884,2.2487425356524083e-11,4.1728197167986074e-10,0.0,0.0,0.0,0.0
38,0.24701127335486087,2.459902717978965e-05,1.0053125704936086e-05,5.377914017927986e-10,3.0439772985579183,0.2456849206266593,0.00012257399450152067,4.0795599118244714e-16,0.7529289733029559,1.852132027873053e-05,5.85241080503476e-08,7.510765507452735e-06,0.06175281833871522,2.108205378510796e-11,3.8383667421790137e-10,0.0,0.0,0.0,0.0
39,0.24720795367434098,2.4064877438832812e-05,1.058449029955012e-05,5.990154942496675e-10,3.0439772985579183,0.2458808897080385,0.00012891629913657434,3.951934044563644e-16,0.7527319125177031,1.8114401219036747e-05,5.8059696188300084e-08,7.909223930017138e-06,0.061801988418585245,2.1332213486816396e-11,4.29565865127473e-10,0.0,0.0,0.0,0.0
40,0.24699631824008628,2.4196068212539492e-05,1.0137944385798922e-05,5.443652173376267e-10,3.0439772985579183,0.24567001961526672,0.0001236181644013973,3.9976374359271955e-16,0.7529443423834844,1.8218292668556478e-05,5.94485307401894e-08,7.573859337945518e-06,0.06174907956002157,2.2439059541979948e-11,3.87437651042742e-10,0.0,0.0,0.0,0.0
